title,location,price,url,bedrooms,bathrooms,date,builtin_year,occupancy_status,amenities,area_breakdown,available_from,floor_area(sqft),floor_no,listing_date_added,listing_is_verified,ownership_status,price_breakdown,purpose,type,unit_no,zip
Noticeable1456 Sq. Ft. Flat For Sale in Uttar Badda.,"Uttar Badda, Badda","10,500,000",https://www.bproperty.com/buy/dhaka/badda/noticeable1456-sq-ft-flat-for-sale-in-uttar-badda-172628810775/,3,3,14 September 2024,2022,Vacant,"Double Glazed Windows, Electricity Backup, Elevators in Building, Service Elevators, Other Main Features, Freehold, Furnished, 24 Hours Concierge, Apartment Facing, Electricity, Prayer Room, Other Rooms, Reception/Waiting Area, Storage Areas, Community Space, Broadband Internet, Satellite/Cable TV, Conference Room, Intercom, Maintenance Staff, Shared Kitchen, Cleaning Services, Change of Amenities/Interior, Fire Exit, Fire Extinguisher, Fire Alarm, View, Balcony or Terrace, Lobby in Building, Parking Spaces, Other Facilities, Barbeque Area, Game/Sports Area, Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Distance From Airport (kms), Nearby Public Transport, Other Nearby Places, Pet Policy, Other Facilities, Guard/ Security Staff",,9/14/24,1456,,,,,,Sell,Residential,1,
Noticeable1456 Sq. Ft. Flat For Sale in Uttar Badda.,"Uttar Badda, Badda","10,500,000",https://www.bproperty.com/buy/dhaka/badda/noticeable1456-sq-ft-flat-for-sale-in-uttar-badda-172628810775/,3,3,14 September 2024,2022,Vacant,"Double Glazed Windows, Electricity Backup, Elevators in Building, Service Elevators, Other Main Features, Freehold, Furnished, 24 Hours Concierge, Apartment Facing, Electricity, Prayer Room, Other Rooms, Reception/Waiting Area, Storage Areas, Community Space, Broadband Internet, Satellite/Cable TV, Conference Room, Intercom, Maintenance Staff, Shared Kitchen, Cleaning Services, Change of Amenities/Interior, Fire Exit, Fire Extinguisher, Fire Alarm, View, Balcony or Terrace, Lobby in Building, Parking Spaces, Other Facilities, Barbeque Area, Game/Sports Area, Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Distance From Airport (kms), Nearby Public Transport, Other Nearby Places, Pet Policy, Other Facilities, Guard/ Security Staff",,9/14/24,1456,,,,,,Sell,Residential,1,
Convenient 700 SFT Apartment for Sale in Mohakhali,"Mohakhali Bazar Road, Mohakhali","4,000,000",https://www.bproperty.com/buy/dhaka/mohakhali/convenient-700-sft-apartment-for-sale-in-mohakhali-172628754038/,2,2,9/14/2024,2022,occupied,"Freehold, Gas",,,700,,,,,,,,,
Convenient 700 SFT Apartment for Sale in Mohakhali,"Mohakhali Bazar Road, Mohakhali","4,000,000",https://www.bproperty.com/buy/dhaka/mohakhali/convenient-700-sft-apartment-for-sale-in-mohakhali-172628754038/,2,2,9/14/2024,2022,occupied,"Freehold, Gas",,,700,,,,,,,,,
"Affordable 1,365 Sq Ft Apartment for Sale in Uttara Sector 4","Sector 4, Uttara","16,300,000",https://www.bproperty.com/buy/dhaka/uttara/affordable-1-365-sq-ft-apartment-for-sale-in-uttar-172611258241/,3,3,02/9/2024,2014,Vacant,"Electricity Backup, Flooring, Elevators in Building, 24 Hours Concierge, Electricity, Floor Level, Reception/Waiting Area, Broadband Internet, Satellite/Cable TV, Intercom, CCTV Security, Fire Exit, Visitor Log, Fire Alarm, View, Balcony or Terrace, Lobby in Building, Waste Disposal, Parking Spaces",,,1365,2,,,,,,,2,
"Affordable 1,365 Sq Ft Apartment for Sale in Uttara Sector 4","Sector 4, Uttara","16,300,000",https://www.bproperty.com/buy/dhaka/uttara/affordable-1-365-sq-ft-apartment-for-sale-in-uttar-172611258241/,3,3,02/9/2024,2014,Vacant,"Electricity Backup, Flooring, Elevators in Building, 24 Hours Concierge, Electricity, Floor Level, Reception/Waiting Area, Broadband Internet, Satellite/Cable TV, Intercom, CCTV Security, Fire Exit, Visitor Log, Fire Alarm, View, Balcony or Terrace, Lobby in Building, Waste Disposal, Parking Spaces",,,1365,2,,,,,,,2,
"Notable 1,950 Sq ft Residential Apartment for sale in Nadda","Nadda Kacha Bazar Road, Nadda","12,675,000",https://www.bproperty.com/buy/dhaka/nadda/notable-1-950-sq-ft-residential-apartment-for-sale-172604800070/,4,4,2024,2024,Vacant,"Electricity Backup, Flooring, Elevators in Building, Freehold, Apartment Facing, Gas, Electricity, Floor Level, Community Space, Satellite/Cable TV, Intercom, Maintenance Staff, Laundry Facility, Shared Kitchen, Cleaning Services, CCTV Security, View, Balcony or Terrace, Lobby in Building, Parking Spaces, Gym or Health Club, Swimming Pool, Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Distance From Airport (kms), Nearby Public Transport, Guard/ Security Staff",,,1950,2nd,,,,,,,2,
"Notable 1,950 Sq ft Residential Apartment for sale in Nadda","Nadda Kacha Bazar Road, Nadda","12,675,000",https://www.bproperty.com/buy/dhaka/nadda/notable-1-950-sq-ft-residential-apartment-for-sale-172604800070/,4,4,2024,2024,Vacant,"Electricity Backup, Flooring, Elevators in Building, Freehold, Apartment Facing, Gas, Electricity, Floor Level, Community Space, Satellite/Cable TV, Intercom, Maintenance Staff, Laundry Facility, Shared Kitchen, Cleaning Services, CCTV Security, View, Balcony or Terrace, Lobby in Building, Parking Spaces, Gym or Health Club, Swimming Pool, Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Distance From Airport (kms), Nearby Public Transport, Guard/ Security Staff",,,1950,2nd,,,,,,,2,
Convenient 778 Sq Ft Apartment for Sale in Niketan,"Block D, Niketan","11,000,000",https://www.bproperty.com/buy/dhaka/niketan/convenient-778-sq-ft-apartment-for-sale-in-niketan-172587917895/,2,2,9 Aug 2024,2015,Occupied,"Electricity Backup, Gas, Electricity, Satellite/Cable TV, CCTV Security, Parking Spaces, Nearby Schools, Guard/ Security Staff",,,778,,,,,,,,,
Convenient 778 Sq Ft Apartment for Sale in Niketan,"Block D, Niketan","11,000,000",https://www.bproperty.com/buy/dhaka/niketan/convenient-778-sq-ft-apartment-for-sale-in-niketan-172587917895/,2,2,9 Aug 2024,2015,Occupied,"Electricity Backup, Gas, Electricity, Satellite/Cable TV, CCTV Security, Parking Spaces, Nearby Schools, Guard/ Security Staff",,,778,,,,,,,,,
